,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kapaa,40.0,US,1538348160,47,45.52,-122.67,69.98,9.17
1,santa fe,90.0,US,1538350320,90,22.08,-159.32,82.04,5.82
2,agadez,88.0,AR,1538352081,82,-31.62,-60.7,74.1,12.91
3,kodinsk,64.0,NE,1538352020,23,16.97,7.99,87.78,6.87
4,aklavik,12.0,RU,1538352083,63,58.6,99.18,43.5,6.08
5,buraydah,90.0,CA,1538348400,74,68.22,-135.01,35.6,9.17
6,punta arenas,0.0,SA,1538348400,29,26.33,43.97,75.2,3.18
7,upernavik,75.0,CL,1538348400,51,-53.16,-70.91,37.4,10.29
8,richards bay,92.0,GL,1538352021,100,72.79,-56.15,34.32,1.28
9,georgetown,0.0,ZA,1538352022,73,-28.77,32.06,64.92,14.03
10,salalah,0.0,GY,1538348400,94,6.8,-58.16,78.8,6.93
11,ancud,0.0,OM,1538347800,83,17.01,54.1,75.2,3.36
12,payo,8.0,CL,1538352023,76,-41.87,-73.83,41.97,8.21
13,kodiak,0.0,ID,1538352024,72,-3.75,103.64,79.41,7.65
14,luxor,90.0,US,1538351100,100,39.95,-94.76,60.08,4.7
15,taolanaro,75.0,EG,1538348400,38,25.7,32.65,89.6,4.7
16,ushuaia,90.0,CA,1538348400,93,50.7,-127.42,50,8.05
17,saint-philippe,75.0,AR,1538348400,86,-54.81,-68.31,33.8,25.28
18,sibolga,90.0,CA,1538349840,76,45.36,-73.48,51.8,2.24
19,hambantota,36.0,ID,1538352026,100,1.74,98.78,69.42,1.72
20,castro,80.0,LK,1538352026,100,6.12,81.12,78.42,9.1
21,rikitea,24.0,CL,1538351833,80,-42.48,-73.76,41.79,8.43
22,port alfred,100.0,PF,1538352027,100,-23.12,-134.97,71.76,8.77
23,cape town,32.0,ZA,1538352027,60,-33.59,26.89,74.46,8.66
24,marfino,0.0,ZA,1538348400,93,-33.93,18.42,53.6,1.12
25,los algarrobos,0.0,RU,1538348400,70,56.07,37.56,44.6,15.66
26,tiksi,75.0,EC,1538348400,33,-3.25,-79.94,89.6,9.17
27,marshfield,24.0,RU,1538352028,97,71.64,128.87,26.22,3.18
28,arraial do cabo,1.0,US,1538350500,93,42.09,-70.71,60.98,3.36
29,ostrovnoy,80.0,BR,1538352029,93,-22.97,-42.02,73.92,18.05
30,takoradi,88.0,RU,1538351903,99,68.05,39.51,35.85,8.32
31,albany,64.0,GH,1538352092,99,4.89,-1.75,76.71,7.65
32,basco,75.0,US,1538348040,67,42.65,-73.75,60.98,2.17
33,cabo san lucas,75.0,US,1538350500,88,40.33,-91.2,77,6.93
34,sentyabrskiy,20.0,MX,1538347860,70,22.89,-109.91,86,10.29
35,qaanaaq,0.0,ZA,1538352030,76,-34,24.73,64.92,17.27
36,huarmey,0.0,GL,1538352031,100,77.48,-69.36,10.74,7.31
37,hilo,48.0,PE,1538352031,62,-10.07,-78.15,66,2.73
38,talnakh,20.0,US,1538348160,55,19.71,-155.08,87.08,8.05
39,madimba,80.0,RU,1538352032,98,69.49,88.39,38.19,9.66
40,geraldton,75.0,CM,1538348400,100,4.42,9.93,77,2.24
41,flinders,40.0,CA,1538348400,55,49.72,-86.95,39.2,6.93
42,ponta do sol,0.0,AU,1538348400,51,-34.58,150.85,62.6,5.82
43,hithadhoo,88.0,BR,1538352032,99,-20.63,-46,63.66,4.74
44,comodoro rivadavia,48.0,MV,1538351809,100,-0.6,73.08,83.37,15.03
45,hirson,40.0,AR,1538348400,52,-45.87,-67.48,42.8,6.93
46,chuy,20.0,FR,1538351400,93,49.92,4.08,48.2,2.24
47,barrow,92.0,UY,1538351903,96,-33.69,-53.46,66.27,4.74
48,bengkulu,92.0,AR,1538352033,88,-38.31,-60.23,44.85,7.76
49,tuktoyaktuk,0.0,ES,1538350200,77,38.18,-1.13,68,4.7
50,qui nhon,90.0,CA,1538348400,86,69.44,-133.03,30.2,6.93
51,puerto ayora,0.0,ZA,1538351799,85,-33.02,27.91,74.55,17.05
52,clyde river,75.0,EC,1538348400,83,-0.74,-90.35,73.4,13.87
53,sinop,90.0,CA,1538349060,100,70.47,-68.59,30.2,20.8
54,anadyr,48.0,TR,1538352035,100,42.03,35.15,69.96,15.26
55,bluff,90.0,RU,1538350200,93,64.73,177.51,48.2,20.13
56,new norfolk,0.0,AU,1538351760,54,-23.58,149.07,73.2,12.35
57,shakhtinsk,75.0,AU,1538350200,50,-42.78,147.06,55.4,9.17
58,tsihombe,0.0,KZ,1538350200,74,49.71,72.59,32,2.84
59,severo-kurilsk,20.0,PT,1538350200,73,37.72,-25.43,69.8,11.41
60,provideniya,80.0,RU,1538352036,88,50.68,156.12,51.87,10.78
61,la rioja,90.0,RU,1538350200,87,64.42,-173.23,50,8.95
62,kavaratti,0.0,AR,1538351762,43,-29.41,-66.86,74.64,3.96
63,vaini,48.0,IN,1538351959,100,10.57,72.64,81.39,9.22
64,puerto escondido,44.0,IN,1538352036,95,15.34,74.49,70.14,2.17
65,iqaluit,40.0,MX,1538347200,70,15.86,-97.07,86,8.05
66,san patricio,75.0,CA,1538348400,74,63.75,-68.52,28.4,20.8
67,katsuura,32.0,PY,1538351844,59,-26.98,-56.83,84.09,6.2
68,petatlan,20.0,JP,1538349420,63,33.93,134.5,66.2,25.28
69,umm bab,75.0,MX,1538347320,62,17.52,-101.27,89.6,4.7
70,quatre cocos,0.0,QA,1538352038,44,25.21,50.81,75.81,3.06
71,bredasdorp,20.0,MU,1538348400,88,-20.21,57.76,66.2,6.93
72,jamestown,76.0,ZA,1538348400,82,-34.53,20.04,60.8,4.7
73,mataura,8.0,AU,1538351997,26,-33.21,138.6,64.65,14.7
74,almazar,80.0,NZ,1538351746,97,-46.19,168.86,52.86,4.41
75,yellowknife,0.0,UZ,1538348400,62,40.32,69.01,55.4,2.24
76,srandakan,90.0,CA,1538348400,96,62.45,-114.38,32,10.29
77,amderma,0.0,ID,1538352039,80,-7.94,110.25,75.72,2.84
78,hermanus,40.0,PH,1538348400,94,17.54,120.52,77,2.24
79,ribeira grande,48.0,ZA,1538351819,90,-34.42,19.24,45.93,2.39
80,fairbanks,68.0,PT,1538352040,100,38.52,-28.7,71.4,19.17
81,labuhan,1.0,US,1538348280,8,64.84,-147.72,57.02,4.18
82,saskylakh,0.0,ID,1538352040,77,-2.54,115.51,79.05,2.95
83,busselton,88.0,RU,1538352040,99,71.97,114.09,31.62,10.33
84,barentsburg,0.0,AU,1538352041,100,-33.64,115.35,57.45,17.38
85,celestun,75.0,AU,1538350200,50,-42.88,147.33,55.4,9.17
86,mount gambier,24.0,MX,1538352041,97,20.87,-90.4,84.54,17.94
87,khatanga,44.0,AU,1538351892,75,-37.83,140.78,58.53,5.08
88,butaritari,92.0,RU,1538352041,97,71.98,102.47,38.73,15.93
89,pevek,20.0,KI,1538352041,100,3.07,172.79,84.72,9.22
90,avarua,36.0,RU,1538352042,77,69.7,170.27,50.7,17.72
91,atuona,20.0,CK,1538348400,50,-21.21,-159.78,77,8.05
92,chokurdakh,76.0,PF,1538352042,100,-9.8,-139.03,79.05,11.56
93,mtwara,88.0,RU,1538352043,96,70.62,147.9,33.69,11.79
94,port elizabeth,44.0,TZ,1538352043,100,-10.28,40.18,73.2,6.64
95,raudeberg,1.0,US,1538348160,81,39.31,-74.98,71.06,3.18
96,torbay,92.0,NO,1538349600,93,61.99,5.14,42.8,6.93
97,tasiilaq,20.0,CA,1538348400,87,47.66,-52.73,44.6,13.87
98,the pas,92.0,GL,1538351400,100,65.61,-37.64,32,31.09
99,illoqqortoormiut,1.0,CA,1538348400,44,53.82,-101.24,37.4,11.41
100,longyearbyen,0.0,CZ,1538348400,70,49.31,15.68,44.6,5.82
101,zhezkazgan,75.0,NO,1538347800,73,78.22,15.63,24.8,6.93
102,olafsvik,8.0,KZ,1538352044,70,47.8,67.71,39.63,4.41
103,mogadishu,0.0,RU,1538352045,84,53.19,44.05,33.69,9.22
104,charters towers,92.0,SO,1538352045,100,2.04,45.34,78.15,14.7
105,pangkalanbuun,36.0,AU,1538352045,74,-20.07,146.27,71.94,12.24
106,lebu,0.0,ID,1538352044,85,-2.68,111.62,79.05,4.07
107,doka,32.0,ET,1538352076,82,8.96,38.73,45.3,3.18
108,kismayo,48.0,SD,1538352046,85,13.52,35.76,70.32,2.73
109,dingle,75.0,MX,1538347920,49,24.15,-110.32,89.6,11.41
110,attawapiskat,20.0,PH,1538352047,82,11,122.67,81.75,4.52
111,maniitsoq,0.0,ID,1538352047,72,-3.78,103.55,79.41,7.65
112,elat,92.0,GL,1538352047,99,65.42,-52.9,36.75,30.91
113,ola,88.0,CM,1538352048,99,2.91,11.16,69.87,2.28
114,hedaru,20.0,RU,1538350200,65,59.58,151.3,44.6,2.24
115,egvekinot,64.0,TZ,1538352048,95,-4.5,37.91,58.17,2.95
116,klaksvik,88.0,RU,1538352048,96,66.32,-179.17,42.24,9.22
117,kavieng,36.0,FO,1538349600,69,62.23,-6.59,39.2,24.16
118,sao filipe,68.0,PG,1538352049,100,-2.57,150.8,84.72,5.53
119,dunda,100.0,CV,1538352049,100,14.9,-24.5,77.79,5.3
120,hami,0.0,IN,1538352049,81,30.62,78.32,48,2.39
121,tumannyy,0.0,CN,1538352049,55,42.84,93.51,46.74,9.22
122,carmelo,1.0,US,1538351640,81,34.88,-76.9,77,5.82
123,elk city,90.0,UY,1538348400,88,-34,-58.28,62.6,10.29
124,bouillante,1.0,US,1538350500,54,35.41,-99.4,82.04,14.99
125,mar del plata,90.0,FR,1538350200,58,48.53,-1.73,57.2,20.8
126,port shepstone,0.0,AR,1538352050,69,-46.43,-67.52,37.65,6.31
127,harker heights,0.0,ZA,1538352051,80,-30.74,30.45,68.79,16.26
128,sola,1.0,US,1538349300,57,31.08,-97.66,84.02,9.17
129,pundaguitan,75.0,NO,1538349600,81,58.89,5.65,48.2,9.17
130,tuatapere,20.0,PH,1538352051,100,6.37,126.17,83.01,4.97
131,naze,68.0,NZ,1538352052,100,-46.13,167.69,50.34,5.64
132,zuya,68.0,NG,1538352052,96,5.43,7.07,74.28,5.75
133,mocambique,32.0,UA,1538352052,94,45.05,34.32,50.43,4.97
134,port hedland,92.0,ZA,1538352052,27,-30.97,22.13,74.37,15.03
135,amlagora,40.0,AU,1538350200,57,-20.31,118.58,75.2,6.93
136,dudinka,0.0,IN,1538352053,88,22.83,87.35,75,2.95
137,san policarpo,92.0,RU,1538352056,96,69.41,86.18,38.01,12.46
138,narsaq,8.0,PH,1538352057,100,12.18,125.51,81.39,5.97
139,esperance,88.0,GL,1538351400,94,60.91,-46.05,37.4,13.87
140,norman wells,20.0,TT,1538348400,94,10.24,-61.45,77,7.31
141,halalo,90.0,CA,1538348400,74,65.28,-126.83,33.8,4.7
142,korla,40.0,AR,1538348400,47,-51.62,-69.22,37.4,11.41
143,shahdadkot,92.0,CN,1538352058,100,25.6,100.24,57.09,2.17
144,mahebourg,0.0,PK,1538352058,55,27.85,67.91,69.42,0.72
145,cherskiy,20.0,MU,1538348400,88,-20.41,57.7,66.2,6.93
146,koupela,92.0,RU,1538351907,86,68.75,161.3,44.04,3.96
147,luderitz,44.0,BF,1538352058,87,12.18,-0.35,77.34,2.95
148,kiama,0.0,NA,1538352058,88,-26.65,15.16,56.19,7.43
149,outjo,0.0,AU,1538348400,51,-34.67,150.86,62.6,5.82
150,tessalit,92.0,NA,1538348400,33,-20.11,16.16,73.4,6.93
151,isangel,32.0,ML,1538352059,30,20.2,1.01,81.93,10
152,asfi,88.0,VU,1538351961,100,-19.55,169.27,73.83,22.75
153,krumovgrad,0.0,PK,1538352059,84,32.1,70.97,64.02,3.18
154,silyanah,92.0,BG,1538352060,100,41.47,25.65,54.75,5.19
155,zunyi,88.0,EE,1538352060,99,59.1,26.19,48.72,9.22
156,port lincoln,68.0,CN,1538352060,63,27.73,106.92,61.95,4.41
157,karaul,92.0,AU,1538352060,72,-34.72,135.86,62.49,12.12
158,leningradskiy,20.0,BR,1538348400,88,-20.67,-40.5,77,5.82
159,maceio,32.0,RU,1538352061,82,69.38,178.42,44.04,23.31
160,broken hill,0.0,BR,1538348400,88,-9.67,-35.74,71.6,6.93
161,dolinsk,0.0,AU,1538352062,36,-31.97,141.45,68.97,9.55
162,barbar,75.0,RU,1538350200,93,47.32,142.8,53.6,15.66
163,nelson bay,20.0,ID,1538348400,83,-8.65,115.22,78.8,4.7
164,razdolnoye,75.0,AU,1538350200,67,-32.72,152.14,62.6,2.24
165,glendive,0.0,RU,1538352063,84,43.7,44.53,51.6,4.41
166,severomuysk,90.0,US,1538349540,93,47.11,-104.71,37.4,10.29
167,lushunkou,24.0,RU,1538352063,92,56.17,113.57,33.87,2.73
168,yishui,0.0,GF,1538350200,88,5.16,-52.64,78.8,2.24
169,juquitiba,0.0,CN,1538352064,49,35.78,118.63,60.15,14.14
